date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:17	323510/323510	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2001:43:38%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/index.html	tunatheme.com/tf/html/broccoli-preview/broccoli/index-2.html	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:18	77133/77133	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Mar%202021%2018:14:40%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-2.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-2.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:19	58758/58758	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Mar%202021%2014:46:08%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-3.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-3.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:22	326212/326212	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2001:43:44%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/index-2.html	tunatheme.com/tf/html/broccoli-preview/broccoli/index-3.html	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:23	31279/31279	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Apr%202021%2019:13:28%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-4.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-4.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:26	403124/403124	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2001:43:52%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/index-3.html	tunatheme.com/tf/html/broccoli-preview/broccoli/index-4.html	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:30	44328/44328	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Apr%202021%2019:10:30%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-5.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-5.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:33	55965/55965	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Aug%202021%2016:43:44%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-6.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/home-demos/home-6.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:33	90447/90447	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2001:44:06%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/index-5.html	tunatheme.com/tf/html/broccoli-preview/broccoli/index-6.html	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:36	321944/321944	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2001:44:12%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/index-6.html	tunatheme.com/tf/html/broccoli-preview/broccoli/index-7.html	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
17:04:37	345127/345127	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2001:44:00%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/index-4.html	tunatheme.com/tf/html/broccoli-preview/broccoli/index-5.html	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/)
